ds,yhat,yhat_lower,yhat_upper
2024-09-12,61808.98176141426,57420.48515832066,65942.47175679205
2024-09-13,61826.594195235,57860.99613042059,65695.60615591366
2024-09-14,61770.68293831055,57531.28990546035,65824.58288259961
2024-09-15,61772.20479667229,58118.83591577372,65818.36869747259
2024-09-16,61962.0664207389,57562.04422231749,65963.25107130858
2024-09-17,61737.26942110436,57837.924648301705,66047.39846880778
2024-09-18,61710.90074459001,57646.160467439695,65795.88242676966
2024-09-19,61612.89091994583,57651.50100145497,65800.86510021253
2024-09-20,61630.50335376669,57685.92015936474,65524.088178177604
2024-09-21,61574.59209684248,57236.58780598338,65390.2447918931
2024-09-22,61576.113955204484,57820.352823762194,65673.36076252817
2024-09-23,61765.975579270664,57714.23236817,65768.06678547598
2024-09-24,61541.17857963605,57493.87148926611,65649.23071152587
